Station,Longitude,Latitude,Daily,Monthly,Approx,Columbia,CostaRica
San Andres_01,-81.70108,12.58786,true,false,false,true,false
Quibdó_01,-76.64377778,5.69055556,true,false,false,true,false
Bahía Solano_01,-77.40444444,6.22333333,true,false,false,true,false
Buenaventura_01,-76.99238889,3.82011111,true,false,false,true,false
Bogota,-74.166667,4.7,false,true,false,true,false
Bolivar,-75.112,5.328269444,false,true,false,true,false
Bucaramanga,-73.11833333,7.141388889,false,true,false,true,false
Carmen de Tonchalá,-72.566667,7.846694,false,true,false,true,false
Cartagena,-75.51605833,10.44724444,false,true,false,true,false
Duitama,-73.081783,5.78755,false,true,false,true,false
El Tesoro,-75.5555,6.204,false,true,true,true,false
Ibague,-75.20882778,4.435630556,false,true,false,true,false
La Macarena,-73.793444,2.176167,false,true,false,true,false
Pasto,-77.28328611,1.225652778,false,true,false,true,false
Pereira,-75.674321,4.804634,false,true,false,true,false
San Andres,-81.70005778,12.58991722,false,true,false,true,false
Santiago de Cali,-76.63669028,3.317708056,false,true,false,true,false
Tulenapa,-76.6636,7.7741,false,true,true,true,false
Villavicencio1,-73.625,4.1375,false,true,false,true,false
Villavicencio2,-73.68904444,4.131016667,false,true,false,true,false
AMDQ,9.93388888888889,83.87388888888889,true,false,false,false,true
CGFI,9.936388888888889,84.045,true,false,false,false,true
EEFBM,10.006944444444445,84.26583333333333,true,false.0,false,false,true
OSA,8.41,83.33999999999999,true,false,false,false,true
Limon,9.962777777777777,83.02619444444444,true,false,false,false,true
Cahuita,9.738888888888889,82.84444444444443,true,false,false,false,true
Liberia,10.616944444444444,85.45166666666667,true,false,false,false,true
Bataan,10.097527777777778,83.37516666666666,true,false,false,false,true
